Toluene			89.7	4.79
Ethylbenzene		85.4	5.60
Cumene			83.2	5.75
Diphenylmethane		84.5	5.64
Triphenylmethane	81.2	5.48
Cyclohexadiene		76	7.22
Dihydroanthracene	76.3	7.10
Benzylalcohol		79	6.17
Dibenzylether		85.8	6.15
