Cyclopentane		95.6	4.98
Cyclohexane		99.5	4.96
Cycloheptane		94	5.20
Cyclooctane		95.7	5.27
Adamantanetert		96.2	6.24
Adamantanesec		100.2	5.76
23dimethylbutane	95.4	5.45
22dimethylbutane	98	4.68
Triethylamine		90.7	7.54
Pyrrolidine		90.1	7.49
DABCO			93	5.90
Diethylether		93	5.81
THF			92.1	6.16
Dioxane			97	5.01
Benzaldehyde		88.7	7.08
HMPA			94.4	6.02
DMSO			102.1	3.78
