15	 14cyclohexadiene       7.22	76.0
16	 910dihydroanthracene   7.10	76.3
17	 Cumene                 5.75	83.2
18	 Diphenylmethane        5.64	84.5
19	 Ethylbenzene           5.60	85.4
20	 Toluene                4.79	89.7
