20	DiethylEther 95.5 -3.831983314
21	Dioxane 97.6 -0.423751228
22	HMPA 93.9 -2.303181956
23	Dimethylsulfoxide 102.3 3.751443033
24	Benzaldehyde 91.4 -0.343252363
