3       Cyclopentane                4.98    96.3
4       22-dimethylbutane          4.68    99.3
5       23-dimethylbutane          5.45    97.8
6       Cyclohexane                 4.96    99.3
7       Cycloheptane                5.20    95.8
8       Cyclooctane                 5.27    92.4
9       Adamantane-sec             5.30    100.4
10      Adamantane-ter             6.05    99.9
